,,,,,,Daily Price Report-01-01-2023 to 31-12-2023 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,200.00","4,600.00","4,400.00",Rs./Quintal,30-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,200.00","4,625.00","4,413.00",Rs./Quintal,29-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,629.00","4,629.00","4,629.00",Rs./Quintal,28-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,402.00","4,625.00","4,513.00",Rs./Quintal,27-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,402.00","4,470.00","4,436.00",Rs./Quintal,26-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,605.00","4,575.00","4,090.00",Rs./Quintal,23-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,063.00","4,589.00","3,826.00",Rs./Quintal,22-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,300.00","4,651.00","4,475.00",Rs./Quintal,20-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"3,333.00","4,662.00","3,997.00",Rs./Quintal,19-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,426.00","4,703.00","4,564.00",Rs./Quintal,18-12-2023
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"4,502.00","4,739.00","4,620.00",Rs./Quintal,16-12-2023
