,,,,,,Daily Price Report-01-01-2026 to 15-04-2026 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,100.00","5,100.00","5,100.00",Rs./Quintal,20-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,113.00","5,241.00","5,186.00",Rs./Quintal,17-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,246.00","5,246.00","5,246.00",Rs./Quintal,14-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,370.00","5,370.00","5,370.00",Rs./Quintal,13-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,095.00","5,095.00","5,095.00",Rs./Quintal,09-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,350.00","5,631.00","5,490.00",Rs./Quintal,04-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,461.00","5,571.00","5,516.00",Rs./Quintal,03-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,400.00","5,490.00","5,445.00",Rs./Quintal,02-02-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,FAQ,"5,425.00","5,611.00","5,518.00",Rs./Quintal,30-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,900.00","5,320.00","5,110.00",Rs./Quintal,26-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,151.00","5,326.00","5,238.00",Rs./Quintal,23-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,300.00","4,925.00","4,613.00",Rs./Quintal,22-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,351.00","5,141.00","4,746.00",Rs./Quintal,21-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,505.00","5,146.00","4,825.00",Rs./Quintal,17-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,760.00","4,936.00","4,848.00",Rs./Quintal,12-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,730.00","4,981.00","4,855.00",Rs./Quintal,10-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,800.00","5,000.00","4,900.00",Rs./Quintal,09-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,800.00","4,800.00","4,300.00",Rs./Quintal,08-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,400.00","4,870.00","4,635.00",Rs./Quintal,07-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,275.00","4,742.00","4,509.00",Rs./Quintal,02-01-2026
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,400.00","4,481.00","4,440.00",Rs./Quintal,01-01-2026
Maharashtra,Nanded,Dharmabad APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"5,020.00","5,305.00","5,200.00",Rs./Quintal,11-03-2026
Maharashtra,Nanded,Dharmabad APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,550.00","5,060.00","4,750.00",Rs./Quintal,12-01-2026
Maharashtra,Nanded,Dharmabad APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,475.00","5,000.00","4,700.00",Rs./Quintal,08-01-2026
Maharashtra,Nanded,Hadgaon APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,900.00","5,200.00","5,100.00",Rs./Quintal,11-03-2026
Maharashtra,Nanded,Hadgaon APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,800.00","5,200.00","5,000.00",Rs./Quintal,11-02-2026
