,,,,Daily Arrival Report-01-01-2026 to 15-04-2026 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Spices,Turmeric,10.00,Metric Tonnes,30-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.10,Metric Tonnes,13-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.00,Metric Tonnes,11-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.40,Metric Tonnes,10-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.30,Metric Tonnes,09-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.00,Metric Tonnes,08-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,2.90,Metric Tonnes,06-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.70,Metric Tonnes,01-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.10,Metric Tonnes,30-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.60,Metric Tonnes,28-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.60,Metric Tonnes,27-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.50,Metric Tonnes,23-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.40,Metric Tonnes,20-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,4.70,Metric Tonnes,19-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,1.20,Metric Tonnes,16-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.90,Metric Tonnes,31-01-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.30,Metric Tonnes,17-01-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,0.30,Metric Tonnes,12-01-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,284.20,Metric Tonnes,10-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,213.10,Metric Tonnes,09-04-2026
