,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,18.00,Metric Tonnes,02-05-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,3.00,Metric Tonnes,29-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,26-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,25-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,30.00,Metric Tonnes,24-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,28.00,Metric Tonnes,21-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,14.00,Metric Tonnes,20-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,19-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,8.00,Metric Tonnes,18-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,22.00,Metric Tonnes,17-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,15-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,11.00,Metric Tonnes,14-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,13.00,Metric Tonnes,13-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,15.00,Metric Tonnes,12-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,17.00,Metric Tonnes,11-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,4.00,Metric Tonnes,10-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,4.00,Metric Tonnes,08-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,07-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,7.00,Metric Tonnes,05-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,10.00,Metric Tonnes,04-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,12.00,Metric Tonnes,03-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,6.00,Metric Tonnes,01-04-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,8.00,Metric Tonnes,31-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,3.00,Metric Tonnes,30-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,3.00,Metric Tonnes,29-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,9.00,Metric Tonnes,28-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,11.00,Metric Tonnes,27-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,7.00,Metric Tonnes,25-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,6.00,Metric Tonnes,24-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,2.00,Metric Tonnes,23-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,2.00,Metric Tonnes,21-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,3.00,Metric Tonnes,20-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,3.00,Metric Tonnes,18-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,1.00,Metric Tonnes,17-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,6.00,Metric Tonnes,16-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,4.00,Metric Tonnes,15-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,7.00,Metric Tonnes,14-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,5.00,Metric Tonnes,13-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,7.00,Metric Tonnes,11-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,6.00,Metric Tonnes,10-03-2023
Maharashtra,Nanded,Bhokar APMC,Spices,Turmeric,12.00,Metric Tonnes,09-03-2023
