,,,,Daily Arrival Report-01-01-2024 to 31-12-2024 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,77.40,Metric Tonnes,31-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,38.80,Metric Tonnes,28-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,28.80,Metric Tonnes,27-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,44.20,Metric Tonnes,26-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,20.60,Metric Tonnes,24-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,28.80,Metric Tonnes,23-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.90,Metric Tonnes,21-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,10.10,Metric Tonnes,20-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,55.80,Metric Tonnes,19-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,84.30,Metric Tonnes,18-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,57.40,Metric Tonnes,17-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.80,Metric Tonnes,14-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,39.00,Metric Tonnes,13-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,21.30,Metric Tonnes,12-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,49.30,Metric Tonnes,09-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.90,Metric Tonnes,07-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,38.50,Metric Tonnes,06-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,31.40,Metric Tonnes,05-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,38.60,Metric Tonnes,04-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,36.20,Metric Tonnes,03-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,91.50,Metric Tonnes,02-12-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,18.60,Metric Tonnes,30-11-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,33.90,Metric Tonnes,28-11-2024
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,33.90,Metric Tonnes,27-11-2024
