,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,205.00","4,700.00","4,453.00",Rs./Quintal,30-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,280.00","4,777.00","4,529.00",Rs./Quintal,29-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,470.00","4,725.00","4,598.00",Rs./Quintal,27-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,670.00","4,671.00","4,670.00",Rs./Quintal,26-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,480.00","4,590.00","4,535.00",Rs./Quintal,25-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,278.00","4,600.00","4,439.00",Rs./Quintal,24-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,145.00","4,672.00","4,408.00",Rs./Quintal,23-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,080.00","4,600.00","4,340.00",Rs./Quintal,22-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,270.00","4,625.00","4,447.00",Rs./Quintal,20-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,320.00","4,511.00","4,416.00",Rs./Quintal,19-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,000.00","4,455.00","4,228.00",Rs./Quintal,10-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,055.00","4,380.00","4,217.00",Rs./Quintal,09-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,140.00","4,431.00","4,286.00",Rs./Quintal,08-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,090.00","4,560.00","4,325.00",Rs./Quintal,06-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,300.00","4,585.00","4,442.00",Rs./Quintal,05-12-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,401.00","4,651.00","4,526.00",Rs./Quintal,21-11-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,431.00","4,671.00","4,551.00",Rs./Quintal,20-11-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"4,400.00","4,700.00","4,550.00",Rs./Quintal,19-11-2025
Maharashtra,Nanded,Bhokar APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,830.00","4,600.00","4,215.00",Rs./Quintal,18-11-2025
