,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,18.00,Metric Tonnes,30-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,35.00,Metric Tonnes,29-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,28-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,59.00,Metric Tonnes,27-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,22-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,21-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,64.00,Metric Tonnes,20-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,19-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,18-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,16-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,17.00,Metric Tonnes,15-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,43.00,Metric Tonnes,07-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,49.00,Metric Tonnes,02-12-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,148.00,Metric Tonnes,28-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,66.00,Metric Tonnes,24-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,122.00,Metric Tonnes,22-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,62.00,Metric Tonnes,17-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,206.00,Metric Tonnes,16-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,156.00,Metric Tonnes,09-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,93.00,Metric Tonnes,08-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,273.00,Metric Tonnes,07-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,199.00,Metric Tonnes,06-11-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,126.00,Metric Tonnes,16-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,48.00,Metric Tonnes,13-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,17.00,Metric Tonnes,10-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,39.00,Metric Tonnes,09-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,07-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,06-10-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.00,Metric Tonnes,15-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.00,Metric Tonnes,12-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.00,Metric Tonnes,09-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.00,Metric Tonnes,08-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,05-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,01-09-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,18-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,8.00,Metric Tonnes,17-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,2.00,Metric Tonnes,12-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,2.00,Metric Tonnes,11-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,2.00,Metric Tonnes,10-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,2.00,Metric Tonnes,09-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,08-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,7.00,Metric Tonnes,07-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,05-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,7.00,Metric Tonnes,04-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.00,Metric Tonnes,03-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,20.00,Metric Tonnes,02-08-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.00,Metric Tonnes,26-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,3.00,Metric Tonnes,25-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,13.00,Metric Tonnes,24-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,20-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,18.00,Metric Tonnes,19-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,13.00,Metric Tonnes,18-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,6.00,Metric Tonnes,15-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,10.00,Metric Tonnes,14-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.00,Metric Tonnes,13-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,29.00,Metric Tonnes,12-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,6.00,Metric Tonnes,11-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,9.00,Metric Tonnes,10-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,08-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,13.00,Metric Tonnes,06-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,34.00,Metric Tonnes,04-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,14.00,Metric Tonnes,03-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,5.00,Metric Tonnes,01-07-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,17.00,Metric Tonnes,30-06-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,16.00,Metric Tonnes,28-06-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,28.00,Metric Tonnes,27-06-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,33.00,Metric Tonnes,26-06-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,16.00,Metric Tonnes,24-06-2023
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,17.00,Metric Tonnes,23-06-2023
