,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,111.50,Metric Tonnes,30-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,113.00,Metric Tonnes,29-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,109.50,Metric Tonnes,24-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,102.10,Metric Tonnes,23-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,75.20,Metric Tonnes,22-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,116.00,Metric Tonnes,19-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,69.00,Metric Tonnes,17-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,71.50,Metric Tonnes,16-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,44.10,Metric Tonnes,11-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,40.20,Metric Tonnes,10-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,40.70,Metric Tonnes,09-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,30.40,Metric Tonnes,04-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,22.00,Metric Tonnes,27-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,21.90,Metric Tonnes,25-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,23.20,Metric Tonnes,24-11-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,18.10,Metric Tonnes,18-03-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.30,Metric Tonnes,07-03-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.40,Metric Tonnes,20-02-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.30,Metric Tonnes,18-02-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,3.40,Metric Tonnes,24-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,8.50,Metric Tonnes,16-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,8.40,Metric Tonnes,13-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.20,Metric Tonnes,11-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,3.60,Metric Tonnes,10-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.20,Metric Tonnes,04-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.20,Metric Tonnes,03-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,5.20,Metric Tonnes,01-01-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,71.60,Metric Tonnes,06-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.80,Metric Tonnes,05-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.70,Metric Tonnes,04-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.80,Metric Tonnes,03-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.20,Metric Tonnes,20-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,9.50,Metric Tonnes,18-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,7.30,Metric Tonnes,17-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.90,Metric Tonnes,15-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.30,Metric Tonnes,14-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.60,Metric Tonnes,13-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.80,Metric Tonnes,11-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.30,Metric Tonnes,10-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,5.20,Metric Tonnes,05-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.50,Metric Tonnes,04-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,2.60,Metric Tonnes,01-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,4.00,Metric Tonnes,31-10-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,5.10,Metric Tonnes,28-10-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,3.60,Metric Tonnes,27-10-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,2.00,Metric Tonnes,24-10-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,1.70,Metric Tonnes,20-10-2025
