,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,69.00,Metric Tonnes,26-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,23-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,38.20,Metric Tonnes,16-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,44.40,Metric Tonnes,15-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,24.50,Metric Tonnes,12-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,52.30,Metric Tonnes,11-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,72.50,Metric Tonnes,10-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,65.70,Metric Tonnes,08-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,50.60,Metric Tonnes,05-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,71.20,Metric Tonnes,04-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,60.30,Metric Tonnes,03-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,45.50,Metric Tonnes,02-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,51.40,Metric Tonnes,01-12-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.90,Metric Tonnes,28-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,30.10,Metric Tonnes,27-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,10.80,Metric Tonnes,26-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,7.50,Metric Tonnes,25-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,95.40,Metric Tonnes,24-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,18-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,77.70,Metric Tonnes,17-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,34.80,Metric Tonnes,07-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,64.60,Metric Tonnes,06-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,03-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,01-11-2025
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,28.00,Metric Tonnes,31-10-2025
