,,,,Daily Arrival Report-01-01-2022 to 31-12-2022 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,164.00,Metric Tonnes,16-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,15-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,33.00,Metric Tonnes,14-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,12-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,11-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,73.00,Metric Tonnes,09-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,243.00,Metric Tonnes,08-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,195.00,Metric Tonnes,07-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,138.00,Metric Tonnes,05-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,197.00,Metric Tonnes,04-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,202.00,Metric Tonnes,03-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,38.00,Metric Tonnes,01-11-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,104.00,Metric Tonnes,31-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,14.00,Metric Tonnes,28-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,21.00,Metric Tonnes,27-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,26-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,151.00,Metric Tonnes,20-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,89.00,Metric Tonnes,19-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,91.00,Metric Tonnes,18-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,104.00,Metric Tonnes,17-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,39.00,Metric Tonnes,15-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,58.00,Metric Tonnes,14-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,13-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,43.00,Metric Tonnes,12-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,57.00,Metric Tonnes,11-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,08-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,07-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,18.00,Metric Tonnes,06-10-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,6.00,Metric Tonnes,16-09-2022
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.00,Metric Tonnes,15-09-2022
