,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,30-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,29-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,24-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,23-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,22-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,19-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,17-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,16-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,11-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,10-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,09-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,04-12-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,27-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,060.00","7,900.00",Rs./Quintal,25-11-2025
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,Other,Local,"7,710.00","8,160.00","7,900.00",Rs./Quintal,24-11-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,Non-FAQ,"5,700.00","5,800.00","5,750.00",Rs./Quintal,18-03-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,Non-FAQ,"6,700.00","6,900.00","6,800.00",Rs./Quintal,07-03-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","6,900.00","6,800.00",Rs./Quintal,20-02-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","6,800.00","6,700.00",Rs./Quintal,18-02-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,900.00","7,100.00","7,000.00",Rs./Quintal,24-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,900.00","7,100.00","7,000.00",Rs./Quintal,16-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,900.00","7,100.00","7,000.00",Rs./Quintal,13-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,800.00","7,000.00","6,900.00",Rs./Quintal,11-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,800.00","6,900.00","6,850.00",Rs./Quintal,10-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,800.00","6,900.00","6,850.00",Rs./Quintal,04-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,800.00","6,900.00","6,850.00",Rs./Quintal,03-01-2025
Maharashtra,Nanded,Himalyatnagar APMC,Fibre Crops,Cotton,Other,FAQ,"6,800.00","6,900.00","6,850.00",Rs./Quintal,01-01-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,800.00","8,010.00","7,000.00",Rs./Quintal,06-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,300.00","6,900.00","6,750.00",Rs./Quintal,05-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,400.00","6,850.00","6,675.00",Rs./Quintal,04-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,500.00","6,750.00","6,675.00",Rs./Quintal,03-12-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,300.00","6,600.00","6,450.00",Rs./Quintal,20-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,700.00","8,110.00","8,010.00",Rs./Quintal,18-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,500.00","8,180.00","7,898.00",Rs./Quintal,17-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,125.00","6,550.00","6,250.00",Rs./Quintal,15-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,175.00","6,550.00","6,425.00",Rs./Quintal,14-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,150.00","6,510.00","6,475.00",Rs./Quintal,13-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,100.00","6,500.00","6,350.00",Rs./Quintal,11-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"6,100.00","6,400.00","6,300.00",Rs./Quintal,10-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"5,600.00","6,300.00","6,100.00",Rs./Quintal,05-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"5,700.00","6,300.00","6,100.00",Rs./Quintal,04-11-2025
Maharashtra,Nanded,Kinwat APMC,Fibre Crops,Cotton,Other,Local,"5,500.00","6,100.00","5,800.00",Rs./Quintal,01-11-2025
