,,,,,,Daily Price Report-01-01-2026 to 15-04-2026 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Spices,Turmeric,Other,Local,"11,000.00","13,000.00","12,000.00",Rs./Quintal,30-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"10,950.00","13,781.00","12,000.00",Rs./Quintal,13-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"10,100.00","13,900.00","12,500.00",Rs./Quintal,11-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,000.00","14,000.00","13,000.00",Rs./Quintal,10-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,500.00","13,025.00","12,800.00",Rs./Quintal,09-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,000.00","13,500.00","12,400.00",Rs./Quintal,08-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,500.00","12,800.00","12,000.00",Rs./Quintal,06-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","12,201.00","11,700.00",Rs./Quintal,01-04-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"10,000.00","12,251.00","11,600.00",Rs./Quintal,30-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,301.00","11,601.00","11,301.00",Rs./Quintal,28-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"7,500.00","11,000.00","10,820.00",Rs./Quintal,27-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","10,600.00","9,600.00",Rs./Quintal,23-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","10,900.00","9,152.00",Rs./Quintal,20-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"7,500.00","13,101.00","10,000.00",Rs./Quintal,19-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","13,100.00","11,800.00",Rs./Quintal,16-03-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","13,711.00","12,601.00",Rs./Quintal,31-01-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"11,250.00","14,100.00","12,000.00",Rs./Quintal,17-01-2026
Maharashtra,Nanded,Loha APMC,Spices,Turmeric,Rajapuri,Local,"9,000.00","11,300.00","9,100.00",Rs./Quintal,12-01-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"10,900.00","15,400.00","14,200.00",Rs./Quintal,10-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"10,500.00","15,750.00","14,400.00",Rs./Quintal,09-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"12,395.00","16,200.00","14,600.00",Rs./Quintal,08-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"9,000.00","16,000.00","13,900.00",Rs./Quintal,07-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"11,800.00","15,500.00","13,890.00",Rs./Quintal,01-04-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"11,200.00","15,010.00","13,200.00",Rs./Quintal,31-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"10,350.00","14,495.00","13,400.00",Rs./Quintal,27-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"7,500.00","13,705.00","12,295.00",Rs./Quintal,24-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"11,300.00","13,365.00","12,800.00",Rs./Quintal,23-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"11,100.00","15,000.00","14,000.00",Rs./Quintal,19-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"9,000.00","14,000.00","13,100.00",Rs./Quintal,17-03-2026
Maharashtra,Nanded,Nanded APMC,Spices,Turmeric,Other,Local,"9,500.00","14,625.00","13,200.00",Rs./Quintal,16-03-2026
