,,,,Daily Arrival Report-01-01-2021 to 31-12-2021 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,65.00,Metric Tonnes,30-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,45.00,Metric Tonnes,29-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,28-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,41.00,Metric Tonnes,27-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,33.00,Metric Tonnes,25-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,53.00,Metric Tonnes,24-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,13.00,Metric Tonnes,23-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,29.00,Metric Tonnes,21-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,71.00,Metric Tonnes,20-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,49.00,Metric Tonnes,18-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,17-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,28.00,Metric Tonnes,16-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,72.00,Metric Tonnes,15-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,70.00,Metric Tonnes,14-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,85.00,Metric Tonnes,13-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,58.00,Metric Tonnes,11-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,101.00,Metric Tonnes,10-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,118.00,Metric Tonnes,09-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,92.00,Metric Tonnes,07-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,211.00,Metric Tonnes,06-12-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,56.00,Metric Tonnes,23-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,22-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,74.00,Metric Tonnes,20-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,113.00,Metric Tonnes,19-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,49.00,Metric Tonnes,18-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,109.00,Metric Tonnes,10-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,92.00,Metric Tonnes,09-11-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,247.00,Metric Tonnes,26-10-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,325.00,Metric Tonnes,25-10-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,1.00,Metric Tonnes,15-09-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,2.00,Metric Tonnes,25-08-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,12.00,Metric Tonnes,27-05-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,11.00,Metric Tonnes,18-05-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,65.00,Metric Tonnes,17-05-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,47.00,Metric Tonnes,11-05-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,25.00,Metric Tonnes,19-04-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,26.00,Metric Tonnes,08-04-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,43.00,Metric Tonnes,23-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,10.00,Metric Tonnes,22-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,15.00,Metric Tonnes,12-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,21.00,Metric Tonnes,11-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,10-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,18.00,Metric Tonnes,09-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,56.00,Metric Tonnes,05-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,59.00,Metric Tonnes,04-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,02-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,23.00,Metric Tonnes,01-03-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,16.00,Metric Tonnes,24-02-2021
Maharashtra,Nanded,Nanded APMC,Oil Seeds,Soyabean,16.00,Metric Tonnes,23-02-2021
