,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,700.00","4,500.00","4,100.00",Rs./Quintal,06-11-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,500.00","4,315.00","3,907.00",Rs./Quintal,23-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,525.00","4,300.00","3,912.00",Rs./Quintal,17-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,550.00","4,500.00","4,025.00",Rs./Quintal,16-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,500.00","4,155.00","3,827.00",Rs./Quintal,14-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,450.00","4,195.00","3,822.00",Rs./Quintal,13-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,550.00","4,200.00","3,850.00",Rs./Quintal,06-10-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,650.00","4,055.00","3,852.00",Rs./Quintal,07-03-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,770.00","4,085.00","3,927.00",Rs./Quintal,28-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,700.00","4,065.00","3,832.00",Rs./Quintal,21-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,750.00","4,135.00","3,942.00",Rs./Quintal,14-02-2025
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,Yellow,Non-FAQ,"3,650.00","4,130.00","3,890.00",Rs./Quintal,04-02-2025
