,,,,Daily Arrival Report-01-01-2024 to 31-12-2024 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,67.30,Metric Tonnes,31-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,94.60,Metric Tonnes,23-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,33.90,Metric Tonnes,20-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,45.20,Metric Tonnes,19-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,76.00,Metric Tonnes,17-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,81.00,Metric Tonnes,13-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,85.30,Metric Tonnes,12-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,98.30,Metric Tonnes,10-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,151.90,Metric Tonnes,09-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,83.10,Metric Tonnes,03-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,100.70,Metric Tonnes,29-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,89.50,Metric Tonnes,26-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,157.00,Metric Tonnes,25-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,83.40,Metric Tonnes,21-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,65.70,Metric Tonnes,11-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,88.50,Metric Tonnes,08-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,66.90,Metric Tonnes,05-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,91.90,Metric Tonnes,25-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,106.00,Metric Tonnes,21-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,99.90,Metric Tonnes,04-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,13.80,Metric Tonnes,30-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,168.30,Metric Tonnes,27-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,46.00,Metric Tonnes,26-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,71.60,Metric Tonnes,20-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,23.70,Metric Tonnes,10-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,143.80,Metric Tonnes,09-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,79.90,Metric Tonnes,04-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,42.10,Metric Tonnes,29-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,104.50,Metric Tonnes,28-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,131.20,Metric Tonnes,22-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,63.90,Metric Tonnes,06-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,80.00,Metric Tonnes,05-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,83.50,Metric Tonnes,30-07-2024
