,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,47.00,Metric Tonnes,26-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,49.00,Metric Tonnes,19-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,14-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,08-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,48.00,Metric Tonnes,04-12-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,101.00,Metric Tonnes,24-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,22-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,20-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,17-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,16-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,186.00,Metric Tonnes,06-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,202.00,Metric Tonnes,03-11-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,144.00,Metric Tonnes,31-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,207.00,Metric Tonnes,25-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,85.00,Metric Tonnes,21-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,91.00,Metric Tonnes,20-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,115.00,Metric Tonnes,19-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,110.00,Metric Tonnes,18-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,176.00,Metric Tonnes,16-10-2023
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,13-10-2023
