,,,,Daily Arrival Report-01-01-2024 to 31-12-2024 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Fibre Crops,Cotton,49.40,Metric Tonnes,27-11-2024
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,30.00,Metric Tonnes,07-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,117.50,Metric Tonnes,09-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,175.00,Metric Tonnes,08-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,177.00,Metric Tonnes,07-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,152.50,Metric Tonnes,06-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,135.00,Metric Tonnes,04-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,87.50,Metric Tonnes,03-05-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,96.00,Metric Tonnes,09-04-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,88.50,Metric Tonnes,08-04-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,34.00,Metric Tonnes,28-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,31.50,Metric Tonnes,27-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,127.50,Metric Tonnes,22-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,85.00,Metric Tonnes,21-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,135.00,Metric Tonnes,20-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,187.50,Metric Tonnes,13-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,160.00,Metric Tonnes,12-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,155.00,Metric Tonnes,07-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,168.00,Metric Tonnes,06-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,172.00,Metric Tonnes,05-03-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,215.00,Metric Tonnes,23-02-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,205.00,Metric Tonnes,22-02-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,235.00,Metric Tonnes,09-02-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,210.00,Metric Tonnes,20-01-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,150.00,Metric Tonnes,19-01-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,108.00,Metric Tonnes,17-01-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,178.00,Metric Tonnes,06-01-2024
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,197.00,Metric Tonnes,05-01-2024

