,,,,,,Daily Price Report-01-01-2024 to 31-12-2024 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,605.00","16,000.00","13,802.00",Rs./Quintal,31-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,000.00","14,400.00","12,700.00",Rs./Quintal,23-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,800.00","14,570.00","13,185.00",Rs./Quintal,20-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,605.00","13,705.00","12,155.00",Rs./Quintal,19-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,205.00","14,400.00","12,802.00",Rs./Quintal,17-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,500.00","15,105.00","13,302.00",Rs./Quintal,13-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,800.00","14,005.00","12,902.00",Rs./Quintal,12-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,005.00","15,600.00","12,802.00",Rs./Quintal,10-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,005.00","15,410.00","12,707.00",Rs./Quintal,09-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,600.00","14,405.00","13,002.00",Rs./Quintal,03-12-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,800.00","15,500.00","13,650.00",Rs./Quintal,29-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,005.00","14,000.00","12,002.00",Rs./Quintal,26-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","15,100.00","12,550.00",Rs./Quintal,25-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,600.00","15,065.00","12,832.00",Rs./Quintal,21-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,000.00","14,500.00","12,750.00",Rs./Quintal,11-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,500.00","15,000.00","13,250.00",Rs./Quintal,08-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,700.00","14,000.00","12,350.00",Rs./Quintal,05-11-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,500.00","14,000.00","12,250.00",Rs./Quintal,25-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,000.00","15,390.00","13,195.00",Rs./Quintal,21-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,505.00","15,200.00","12,852.00",Rs./Quintal,04-10-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,500.00","13,805.00","13,152.00",Rs./Quintal,30-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,000.00","15,030.00","13,515.00",Rs./Quintal,27-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","15,005.00","12,502.00",Rs./Quintal,26-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,400.00","14,775.00","13,587.00",Rs./Quintal,20-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,500.00","14,505.00","13,502.00",Rs./Quintal,10-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,300.00","16,000.00","14,650.00",Rs./Quintal,09-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,890.00","16,000.00","13,945.00",Rs./Quintal,04-09-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","14,700.00","12,350.00",Rs./Quintal,29-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,100.00","14,605.00","12,352.00",Rs./Quintal,28-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,000.00","15,000.00","13,500.00",Rs./Quintal,22-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","15,900.00","12,950.00",Rs./Quintal,06-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,350.00","15,800.00","14,545.00",Rs./Quintal,05-08-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,950.00","15,900.00","13,925.00",Rs./Quintal,30-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,400.00","17,000.00","14,700.00",Rs./Quintal,25-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,400.00","16,100.00","14,250.00",Rs./Quintal,22-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,000.00","16,000.00","13,500.00",Rs./Quintal,15-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,000.00","16,500.00","14,250.00",Rs./Quintal,10-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,395.00","16,625.00","14,510.00",Rs./Quintal,02-07-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"11,000.00","16,500.00","13,750.00",Rs./Quintal,27-06-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,000.00","16,910.00","14,455.00",Rs./Quintal,10-06-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"14,500.00","16,000.00","15,250.00",Rs./Quintal,04-06-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"15,700.00","17,555.00","16,628.00",Rs./Quintal,27-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"15,500.00","17,237.00","16,368.00",Rs./Quintal,24-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,000.00","16,695.00","14,847.00",Rs./Quintal,14-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,295.00","17,205.00","15,250.00",Rs./Quintal,13-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,195.00","17,790.00","15,492.00",Rs./Quintal,10-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"14,250.00","17,890.00","16,070.00",Rs./Quintal,09-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,500.00","17,000.00","14,750.00",Rs./Quintal,07-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,005.00","17,380.00","15,192.00",Rs./Quintal,06-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"14,500.00","17,475.00","15,987.00",Rs./Quintal,04-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"14,100.00","18,100.00","16,100.00",Rs./Quintal,03-05-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,500.00","20,200.00","16,350.00",Rs./Quintal,29-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,500.00","18,205.00","15,852.00",Rs./Quintal,25-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,505.00","19,000.00","16,252.00",Rs./Quintal,22-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"13,200.00","17,800.00","15,500.00",Rs./Quintal,19-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,000.00","16,000.00","12,500.00",Rs./Quintal,15-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"14,500.00","19,500.00","15,700.00",Rs./Quintal,05-04-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","18,505.00","14,252.00",Rs./Quintal,27-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,505.00","18,300.00","13,902.00",Rs./Quintal,22-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"8,000.00","17,505.00","12,752.00",Rs./Quintal,19-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","18,205.00","14,102.00",Rs./Quintal,18-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,890.00","17,690.00","14,290.00",Rs./Quintal,16-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,600.00","20,000.00","15,300.00",Rs./Quintal,15-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"12,000.00","21,600.00","16,800.00",Rs./Quintal,12-03-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"7,000.00","15,390.00","11,195.00",Rs./Quintal,28-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,200.00","14,000.00","11,600.00",Rs./Quintal,23-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,300.00","13,900.00","11,600.00",Rs./Quintal,21-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"8,505.00","15,000.00","11,752.00",Rs./Quintal,20-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,000.00","14,450.00","11,725.00",Rs./Quintal,12-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,500.00","15,025.00","12,262.00",Rs./Quintal,02-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,500.00","16,500.00","13,000.00",Rs./Quintal,01-02-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,200.00","15,010.00","12,105.00",Rs./Quintal,24-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"8,505.00","15,000.00","11,752.00",Rs./Quintal,23-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"9,705.00","14,276.00","11,990.00",Rs./Quintal,18-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"7,005.00","13,700.00","10,352.00",Rs./Quintal,15-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"10,000.00","13,000.00","11,500.00",Rs./Quintal,05-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"8,000.00","16,000.00","12,000.00",Rs./Quintal,04-01-2024
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,FAQ,"8,205.00","14,140.00","11,172.00",Rs./Quintal,01-01-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"13,000.00","15,710.00","14,200.00",Rs./Quintal,01-08-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"13,600.00","15,600.00","14,600.00",Rs./Quintal,13-07-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"12,500.00","15,910.00","15,000.00",Rs./Quintal,29-06-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"11,000.00","16,000.00","14,500.00",Rs./Quintal,15-06-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"14,710.00","17,000.00","15,800.00",Rs./Quintal,01-06-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"13,800.00","18,400.00","16,500.00",Rs./Quintal,04-05-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"13,820.00","17,405.00","15,950.00",Rs./Quintal,30-03-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"13,000.00","19,900.00","15,690.00",Rs./Quintal,23-03-2024
Maharashtra,Hingoli,Basmat(Kurunda) APMC,Spices,Turmeric,Other,FAQ,"12,000.00","16,800.00","15,200.00",Rs./Quintal,16-03-2024
