,,,,Daily Arrival Report-01-01-2022 to 31-12-2022 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,83.00,Metric Tonnes,29-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,97.00,Metric Tonnes,28-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,78.00,Metric Tonnes,27-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,70.00,Metric Tonnes,20-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,72.00,Metric Tonnes,16-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,99.00,Metric Tonnes,14-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,88.00,Metric Tonnes,12-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,69.00,Metric Tonnes,10-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,08-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,06-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,59.00,Metric Tonnes,05-12-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,29-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,86.00,Metric Tonnes,28-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,294.00,Metric Tonnes,25-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,62.00,Metric Tonnes,23-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,91.00,Metric Tonnes,22-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,9.00,Metric Tonnes,21-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,19-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,88.00,Metric Tonnes,17-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,296.00,Metric Tonnes,16-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,69.00,Metric Tonnes,15-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,129.00,Metric Tonnes,14-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,56.00,Metric Tonnes,11-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,10-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,119.00,Metric Tonnes,09-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,160.00,Metric Tonnes,07-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,05-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,219.00,Metric Tonnes,02-11-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,279.00,Metric Tonnes,31-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,376.00,Metric Tonnes,28-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,194.00,Metric Tonnes,27-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,107.00,Metric Tonnes,21-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,151.00,Metric Tonnes,20-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,128.00,Metric Tonnes,18-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,187.00,Metric Tonnes,17-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,225.00,Metric Tonnes,14-10-2022
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,76.00,Metric Tonnes,12-10-2022
