,,,,Daily Arrival Report-01-01-2023 to 31-12-2023 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Bhokar APMC,Fibre Crops,Cotton,1.00,Metric Tonnes,23-02-2023
Maharashtra,Nanded,Bhokar APMC,Fibre Crops,Cotton,15.00,Metric Tonnes,20-02-2023
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,9.00,Metric Tonnes,07-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,78.00,Metric Tonnes,21-12-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,80.00,Metric Tonnes,20-12-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,140.00,Metric Tonnes,16-12-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,145.00,Metric Tonnes,15-12-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,41.00,Metric Tonnes,25-11-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,43.00,Metric Tonnes,24-11-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,30.00,Metric Tonnes,23-11-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,23.00,Metric Tonnes,22-11-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,31.00,Metric Tonnes,31-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,29.00,Metric Tonnes,30-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,55.00,Metric Tonnes,28-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,29.00,Metric Tonnes,27-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,22.00,Metric Tonnes,22-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,18.00,Metric Tonnes,21-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,5.00,Metric Tonnes,17-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,6.00,Metric Tonnes,12-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,15.00,Metric Tonnes,11-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,11.00,Metric Tonnes,04-01-2023
Maharashtra,Parbhani,Parbhani APMC,Fibre Crops,Cotton,7.00,Metric Tonnes,03-01-2023

