,,,,Daily Arrival Report-01-01-2022 to 31-12-2022 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,296.00,Metric Tonnes,29-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,6.00,Metric Tonnes,28-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,154.00,Metric Tonnes,27-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,168.00,Metric Tonnes,19-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,155.00,Metric Tonnes,15-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,215.00,Metric Tonnes,12-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,219.00,Metric Tonnes,08-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,196.00,Metric Tonnes,05-12-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,286.00,Metric Tonnes,28-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,281.00,Metric Tonnes,24-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,293.00,Metric Tonnes,23-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,269.00,Metric Tonnes,21-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,272.00,Metric Tonnes,17-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,230.00,Metric Tonnes,14-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,193.00,Metric Tonnes,11-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,174.00,Metric Tonnes,09-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,184.00,Metric Tonnes,07-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,115.00,Metric Tonnes,03-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,121.00,Metric Tonnes,02-11-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,169.00,Metric Tonnes,31-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,135.00,Metric Tonnes,28-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,308.00,Metric Tonnes,27-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,124.00,Metric Tonnes,21-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,219.00,Metric Tonnes,17-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,134.00,Metric Tonnes,14-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,144.00,Metric Tonnes,10-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,218.00,Metric Tonnes,07-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,200.00,Metric Tonnes,06-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,181.00,Metric Tonnes,03-10-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,68.00,Metric Tonnes,30-09-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,217.00,Metric Tonnes,29-09-2022
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,109.00,Metric Tonnes,27-09-2022
