,,,,Daily Arrival Report-01-01-2025 to 31-12-2025 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,160.00,Metric Tonnes,12-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,207.00,Metric Tonnes,11-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,300.00,Metric Tonnes,10-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,08-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,150.00,Metric Tonnes,07-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,110.00,Metric Tonnes,05-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,205.00,Metric Tonnes,04-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,132.50,Metric Tonnes,01-11-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,152.00,Metric Tonnes,31-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,30-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,150.00,Metric Tonnes,29-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,130.00,Metric Tonnes,28-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,145.00,Metric Tonnes,27-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,24-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,130.00,Metric Tonnes,16-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.50,Metric Tonnes,15-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,81.00,Metric Tonnes,14-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,100.00,Metric Tonnes,13-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,29.00,Metric Tonnes,09-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,25.00,Metric Tonnes,08-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,07-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,06-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,10.00,Metric Tonnes,03-10-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,15.00,Metric Tonnes,29-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,26-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,24-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,19-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,25.00,Metric Tonnes,15-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,12-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,10-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,08-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,03-09-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,10.00,Metric Tonnes,29-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,55.00,Metric Tonnes,25-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,20-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,10.00,Metric Tonnes,18-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,13-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,11-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,08-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,70.00,Metric Tonnes,06-08-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,45.00,Metric Tonnes,30-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,28-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,25-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,23-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,21-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,90.00,Metric Tonnes,18-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,16-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,14-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,11-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,09-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,07-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,04-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,70.00,Metric Tonnes,02-07-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,30-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,80.00,Metric Tonnes,27-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,23-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,54.00,Metric Tonnes,20-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,18-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,40.00,Metric Tonnes,16-06-2025
Maharashtra,Hingoli,Hingoli APMC,Oil Seeds,Soyabean,60.00,Metric Tonnes,13-06-2025
