,,,,Daily Arrival Report-01-01-2021 to 31-12-2021 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,22.00,Metric Tonnes,31-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,7.00,Metric Tonnes,24-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,23.00,Metric Tonnes,22-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,48.00,Metric Tonnes,20-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,25.00,Metric Tonnes,17-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,30.00,Metric Tonnes,16-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,32.00,Metric Tonnes,15-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,14-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,67.00,Metric Tonnes,13-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,68.00,Metric Tonnes,10-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,45.00,Metric Tonnes,09-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,160.00,Metric Tonnes,08-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,117.00,Metric Tonnes,06-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,46.00,Metric Tonnes,04-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,03-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,59.00,Metric Tonnes,02-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,29.00,Metric Tonnes,01-12-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,50.00,Metric Tonnes,30-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,36.00,Metric Tonnes,29-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,51.00,Metric Tonnes,27-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,26-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,79.00,Metric Tonnes,25-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,114.00,Metric Tonnes,24-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,69.00,Metric Tonnes,23-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,97.00,Metric Tonnes,22-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,63.00,Metric Tonnes,20-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,79.00,Metric Tonnes,18-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,92.00,Metric Tonnes,17-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,88.00,Metric Tonnes,16-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,118.00,Metric Tonnes,15-11-2021
Maharashtra,Hingoli,Basmat APMC,Oil Seeds,Soyabean,55.00,Metric Tonnes,12-11-2021
