,,,,Daily Arrival Report-01-01-2026 to 16-04-2026 for Maharashtra,,,
State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,5.00,Metric Tonnes,12-03-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,4.50,Metric Tonnes,11-03-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,27.90,Metric Tonnes,27-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,16.00,Metric Tonnes,26-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,15.80,Metric Tonnes,25-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,4.50,Metric Tonnes,24-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,10.50,Metric Tonnes,23-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,9.40,Metric Tonnes,20-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,2.90,Metric Tonnes,17-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,5.60,Metric Tonnes,16-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,7.10,Metric Tonnes,13-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,2.10,Metric Tonnes,12-02-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,3.70,Metric Tonnes,22-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,1.70,Metric Tonnes,14-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,5.50,Metric Tonnes,13-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,9.10,Metric Tonnes,12-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,23.70,Metric Tonnes,09-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,69.30,Metric Tonnes,07-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,74.50,Metric Tonnes,05-01-2026
Maharashtra,Nanded,Hadgaon(Tamsa) APMC,Fibre Crops,Cotton,74.50,Metric Tonnes,02-01-2026

