,,,,,,Daily Price Report-01-01-2025 to 31-12-2025 for Maharashtra,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","14,125.00","12,062.00",Rs./Quintal,06-11-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,000.00","15,560.00","13,780.00",Rs./Quintal,23-10-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,005.00","15,700.00","12,850.00",Rs./Quintal,16-10-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","15,000.00","12,500.00",Rs./Quintal,14-10-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,100.00","12,805.00","11,452.00",Rs./Quintal,06-10-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","13,000.00","11,500.00",Rs./Quintal,30-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,985.00","14,000.00","11,992.00",Rs./Quintal,29-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,710.00","13,195.00","11,452.00",Rs./Quintal,26-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","13,000.00","11,500.00",Rs./Quintal,25-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","14,000.00","12,000.00",Rs./Quintal,23-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,315.00","11,157.00",Rs./Quintal,19-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,990.00","12,395.00","11,147.00",Rs./Quintal,18-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,995.00","12,690.00","11,342.00",Rs./Quintal,15-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,900.00","11,450.00",Rs./Quintal,11-09-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,595.00","14,000.00","11,797.00",Rs./Quintal,13-08-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,705.00","13,250.00","11,477.00",Rs./Quintal,12-08-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,995.00","13,000.00","11,497.00",Rs./Quintal,11-08-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,400.00","11,200.00",Rs./Quintal,05-08-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,800.00","13,000.00","11,400.00",Rs./Quintal,04-08-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,555.00","11,277.00",Rs./Quintal,30-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,050.00","13,150.00","11,600.00",Rs./Quintal,15-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,800.00","11,400.00",Rs./Quintal,11-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","12,705.00","11,352.00",Rs./Quintal,10-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,500.00","13,500.00","12,000.00",Rs./Quintal,08-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,300.00","13,100.00","11,700.00",Rs./Quintal,02-07-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"9,995.00","13,355.00","11,675.00",Rs./Quintal,30-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,500.00","14,005.00","12,252.00",Rs./Quintal,20-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,200.00","13,600.00","11,900.00",Rs./Quintal,13-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,035.00","14,200.00","12,117.00",Rs./Quintal,10-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","13,770.00","11,885.00",Rs./Quintal,09-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,500.00","14,000.00","12,250.00",Rs./Quintal,05-06-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,700.00","13,750.00","12,225.00",Rs./Quintal,30-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,000.00","13,755.00","12,377.00",Rs./Quintal,26-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,000.00","15,000.00","12,500.00",Rs./Quintal,23-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,400.00","14,300.00","12,850.00",Rs./Quintal,21-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,400.00","14,270.00","12,335.00",Rs./Quintal,20-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,000.00","13,575.00","12,287.00",Rs./Quintal,15-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,700.00","14,005.00","12,352.00",Rs./Quintal,09-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,600.00","14,200.00","12,400.00",Rs./Quintal,07-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,000.00","13,800.00","12,900.00",Rs./Quintal,03-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,000.00","14,205.00","12,602.00",Rs./Quintal,02-05-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,900.00","14,100.00","13,000.00",Rs./Quintal,28-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,000.00","14,450.00","13,225.00",Rs./Quintal,25-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,780.00","14,610.00","13,695.00",Rs./Quintal,23-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"10,500.00","15,000.00","12,750.00",Rs./Quintal,22-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,600.00","15,750.00","13,675.00",Rs./Quintal,21-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,400.00","16,155.00","14,277.00",Rs./Quintal,18-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"12,000.00","15,300.00","13,650.00",Rs./Quintal,16-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,000.00","16,255.00","13,627.00",Rs./Quintal,08-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,000.00","15,000.00","13,000.00",Rs./Quintal,04-04-2025
Maharashtra,Hingoli,Basmat APMC,Spices,Turmeric,Other,Local,"11,700.00","15,050.00","13,370.00",Rs./Quintal,03-04-2025
